STT,Thuật ngữ Tiếng Anh,Dịch Tiếng Việt,Giải thích,Cột 1
1,360 assessment,Đánh giá 360 độ,"Một công cụ đánh giá thu thập phản hồi từ quản lý, đồng nghiệp, cấp dưới trực tiếp và khách hàng.",
2,9-box,Ma trận 9 ô,Một công cụ ma trận được sử dụng để đánh giá nguồn lực tài năng của tổ chức dựa trên các yếu tố hiệu suất và tiềm năng.,
3,Abilities,Năng lực / Khả năng,Các năng lực hoặc kỹ năng cá nhân mang lại cho một nhiệm vụ.,
4,Ability,Năng lực,"Kiến thức, kỹ năng và khả năng tiếp nhận học hỏi mà một cá nhân mang lại cho một nhiệm vụ hoặc công việc.",
5,Abundance,Sự phong phú / Dư dật,Trạng thái dồi dào về nguồn lực hoặc tinh thần giúp thúc đẩy sự xuất sắc.,
6,Abundance-based change,Thay đổi dựa trên sự phong phú,Các nhà lãnh đạo giả định rằng nhân viên sẽ thay đổi nếu họ có thể được truyền cảm hứng để hướng tới mức độ xuất sắc cao hơn trong công việc.,
7,Acceptance,Sự chấp nhận,Trạng thái đồng thuận hoặc tiếp nhận một điều kiện hoặc sự thay đổi nào đó.,
8,Accountability,Trách nhiệm giải trình,Nghĩa vụ báo cáo và chịu trách nhiệm về các hành động và kết quả đạt được.,
9,Acquisition,Sự thâu tóm / Thu hút,Quá trình tìm kiếm và thu nhận các ứng viên hoặc tài sản cho công ty.,
10,Adaptation,Sự thích nghi,Kỹ thuật làm việc cùng với hoặc xoay quanh các sự khác biệt.,
11,Adhocracy culture,Văn hóa linh hoạt,"Tạo ra một môi trường đổi mới, tầm nhìn về tương lai, chấp nhận quản lý sự thay đổi và chấp nhận rủi ro.",
12,Administrative orbiting,Trì hoãn hành chính,Một chiến lược không hiệu quả trong việc giải quyết xung đột.,
13,Affect,Thành phần tình cảm,Giải quyết các cảm nhận của một người đối với một người khác hoặc một đối tượng khác.,
14,Affective conflict,Xung đột cảm xúc,Được thấy trong các tình huống mà hai cá nhân đơn giản là không thể hòa hợp với nhau.,
15,Alienation,Sự tha hóa / Sự tách biệt,Trải nghiệm bị cô lập khỏi một nhóm hoặc một hoạt động mà lẽ ra một cá nhân phải thuộc về.,
16,Alliance,Liên minh,Sự kết hợp giữa các đơn vị để cùng thực hiện mục tiêu và tăng cường quyền lực.,
17,Ambiguity,Sự mơ hồ,"Tình trạng thiếu rõ ràng về thông tin, quy tắc hoặc vai trò trong tổ chức.",
18,Angel investors,Nhà đầu tư thiên thần,Các nhà đầu tư cá nhân cung cấp tài chính mạo hiểm từ nguồn vốn của chính họ.,
19,Anxiety,Sự lo âu,Cảm giác không có khả năng đối phó với những tổn hại được dự báo trước.,
20,Appreciative conversations,Các cuộc hội thoại trân trọng/tích cực,Các cuộc thảo luận tích cực giúp mọi người phát triển nền tảng chung khi làm việc cùng nhau để tạo ra tầm nhìn tương lai lý tưởng.,
21,Appreciative Inquiry model,Mô hình Truy vấn trân trọng/tích cực,"Một phương pháp tiếp cận thay đổi tổ chức tập trung vào những điểm mạnh, sự phong phú và những điều đang vận hành tốt.",
22,Assertiveness,Tính quyết đoán,Có thể dao động từ quyết đoán đến không quyết đoán trên một dải liên tục.,
23,Assessment,Đánh giá,"Quá trình thẩm định giá trị, năng lực hoặc hiệu suất của cá nhân/tổ chức.",
24,Assessment center,Trung tâm đánh giá,Bao gồm một loạt các đánh giá chuẩn hóa về hành vi dựa trên nhiều dữ liệu đầu vào.,
25,Attitude,Thái độ,Một xu hướng định sẵn để phản hồi theo cách thuận lợi hoặc không thuận lợi đối với các đối tượng.,
26,Attribution biases,Thiên kiến quy kết,Gồm lỗi quy kết cơ bản và thiên kiến vị kỷ; là những sai lệch khi cá nhân giải thích nguyên nhân của các sự kiện hoặc hành vi.,
27,Attribution theory,Lý thuyết quy kết,Liên quan đến quá trình mà một cá nhân giải thích các sự kiện là do môi trường ổn định gây ra.,
28,Authoritarianism,Chủ nghĩa độc đoán,Đề cập đến định hướng của một cá nhân đối với thẩm quyền (quyền lực).,
29,Authority,Thẩm quyền,Đại diện cho quyền hợp pháp được tìm kiếm sự tuân thủ từ người khác dựa trên vị trí chính thức.,
30,Autonomy,Quyền tự chủ,Mức độ độc lập và tự quyết dành cho cá nhân trong việc thực hiện công việc.,
31,Avoidance learning,Học tập né tránh,Việc tìm cách tránh một tình trạng không mong muốn bằng cách thực hiện một hành vi mong muốn.,
32,Bargaining,Mặc cả / Thương lượng,Hoạt động trao đổi giữa các bên để đạt được sự dàn xếp về lợi ích.,
33,Bases of power,Các cơ sở quyền lực,"Năm cơ sở: quyền lực tham chiếu, chuyên gia, hợp pháp, khen thưởng và cưỡng chế.",
34,Basic incongruity thesis,Luận điểm về sự không tương thích cơ bản,Sự mâu thuẫn giữa mong muốn của cá nhân và mục tiêu của tổ chức.,
