key,translation,options,desc_en,desc_vi,chapter,status,notes,source,frequency,confidence
Mean,trung bình,,"a number that measures the central tendency of the data; a common name for mean is 'average.' The term 'mean' is a shortened form of 'arithmetic mean.' By definition, the mean for a sample (denoted by ) is , and the mean for a population (denoted by μ ) is .",,1;2;4;7,draft_ai,draft-pipeline,html_key_terms_dl;html_key_terms_dt;html_term_span,13,0.92
Normal Distribution,phân phối chuẩn,,"a continuous random variable (RV) with pdf f ( x ) = , where μ is the mean of the distribution and σ is the standard deviation; notation: X ~ N ( μ , σ ). If μ = 0 and σ = 1, the RV is called the standard normal distribution .",,10;6;7;8;9,draft_ai,draft-pipeline,html_key_terms_dl;html_key_terms_dt;html_term_span,13,0.92
Standard Deviation,độ lệch chuẩn,,A number that is equal to the square root of the variance and measures how far data values are from their mean; notation: s for sample standard deviation and σ for population standard deviation.,,10;2;8;9,draft_ai,draft-pipeline,html_key_terms_dl;html_key_terms_dt;html_term_span,13,0.92
Central Limit Theorem,Định lý Giới hạn Trung tâm,,"Given a random variable (RV) with known mean μ and known standard deviation, σ , we are sampling with size n , and we are interested in two new RVs: the sample mean, , and the sample sum, ΣΧ . If the size ( n ) of the sample is sufficiently large, then ~ N ( μ , ) and ΣΧ ~ N ( nμ , ( )( σ )). If the size ( n ) of the sample is sufficiently large, then the distribution of the sample means and the distribution of the sample sums will approximate a normal distributions regardless of the shape of th","Cho một biến ngẫu nhiên (RV) với trung bình μ và độ lệch chuẩn σ đã biết, chúng ta lấy mẫu với kích thước n và quan tâm đến hai RV mới: trung bình mẫu, và tổng mẫu, ΣΧ. Nếu kích thước (n) của mẫu đủ lớn, thì ~ N(μ, ) và ΣΧ ~ N(nμ, ( )(σ)). Nếu kích thước (n) của mẫu đủ lớn, thì phân phối của trung bình mẫu và phân phối của tổng mẫu sẽ xấp xỉ phân phối chuẩn bất kể hình dạng của phân phối ban đầu.",7;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,8,0.92
Binomial Distribution,Phân phối Nhị thức,,"a discrete random variable (RV) which arises from Bernoulli trials; there are a fixed number, n , of independent trials. “Independent” means that the result of any trial (for example, trial 1) does not affect the results of the following trials, and all trials are conducted under the same conditions. Under these circumstances the binomial RV X is defined as the number of successes in n trials. The notation is: X ~ B ( n , p ). The mean is μ = np and the standard deviation is σ = . The probabilit","một biến ngẫu nhiên rời rạc (RV) phát sinh từ các phép thử Bernoulli; có một số cố định, n, các phép thử độc lập. “Độc lập” có nghĩa là kết quả của bất kỳ phép thử nào (ví dụ: phép thử 1) không ảnh hưởng đến kết quả của các phép thử tiếp theo, và tất cả các phép thử được thực hiện trong cùng các điều kiện. Trong các trường hợp này, RV nhị thức X được định nghĩa là số lần thành công trong n phép thử. Ký hiệu là: X ~ B(n, p). Trung bình là μ = np và độ lệch chuẩn là σ = . Xác suất",7;8;9,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,7,0.92
Conditional Probability,Xác suất có điều kiện,,the likelihood that an event will occur given that another event has already occurred.,khả năng xảy ra một sự kiện khi biết rằng một sự kiện khác đã xảy ra.,3;5,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
contingency table,bảng liên hợp,,the method of displaying a frequency distribution as a table with rows and columns to show how two variables may be dependent (contingent) upon each other; the table provides an easy way to calculate conditional probabilities.,phương pháp hiển thị một phân phối tần số dưới dạng bảng có hàng và cột để cho thấy hai biến có thể phụ thuộc (liên hợp) vào nhau như thế nào; bảng cung cấp một cách dễ dàng để tính xác suất có điều kiện.,11;3,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Exponential Distribution,Phân phối Mũ,,"a continuous random variable (RV) that appears when we are interested in the intervals of time between some random events, for example, the length of time between emergency arrivals at a hospital; the notation is X ~ Exp ( m ). The mean is μ = and the standard deviation is σ = . The probability density function is f ( x ) = me −mx , x ≥ 0 and the cumulative distribution function is P ( X ≤ x ) = 1 − e −mx .","một biến ngẫu nhiên liên tục (RV) xuất hiện khi chúng ta quan tâm đến các khoảng thời gian giữa một số sự kiện ngẫu nhiên, ví dụ, thời gian giữa các lần cấp cứu đến bệnh viện; ký hiệu là X ~ Exp(m). Trung bình là μ = và độ lệch chuẩn là σ = . Hàm mật độ xác suất là f(x) = me−mx, x ≥ 0 và hàm phân phối tích lũy là P(X ≤ x) = 1 − e−mx.",5;7,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Frequency,Tần số,,the number of times a value of the data occurs,số lần một giá trị dữ liệu xuất hiện,1;2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Outlier,Điểm ngoại lệ,,an observation that does not fit the rest of the data,một quan sát không phù hợp với phần còn lại của dữ liệu,12;2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Parameter,Tham số,,a number that is used to represent a population characteristic and that generally cannot be determined easily,một số được sử dụng để đại diện cho đặc điểm của quần thể và thường không dễ xác định,1;8,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Probability,xác suất,,"a number between zero and one, inclusive, that gives the likelihood that a specific event will occur; the foundation of statistics is given by the following 3 axioms (by A.N. Kolmogorov, 1930’s): Let S denote the sample space and A and B are two events in S . Then: 0 ≤ P ( A ) ≤ 1 If A and B are any two mutually exclusive events, then P ( A OR B ) = P ( A ) + P (B). P ( S ) = 1",,1;3,draft_ai,draft-pipeline,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
Relative Frequency,Tần suất tương đối,,the ratio of the number of times a value of the data occurs in the set of all outcomes to the total number of outcomes,tỷ lệ số lần một giá trị dữ liệu xuất hiện trong tập hợp tất cả các kết quả so với tổng số kết quả,1;2,draft_ai,draft-pipeline; AI:google/gemini-2.5-flash-lite,html_key_terms_dl;html_key_terms_dt;html_term_span,6,0.92
