key,translation,options,desc_en,desc_vi,chapter,status,notes
administrative law,luật hành chính,,Rules,regulations,and orders passed by boards,commissions,and agencies of government
antitrust regulation,quy định chống độc quyền,,Laws that prevent companies from controlling trade through a monopoly,Luật ngăn chặn các công ty kiểm soát thương mại thông qua độc quyền,_book-level,confirmed,antitrust = chống độc quyền/chống tập trung kinh tế
appellate courts (courts of appeals),tòa phúc thẩm,,Courts that review decisions of lower courts; no cases start here,Tòa án xem xét lại các quyết định của tòa cấp dưới; không có vụ án nào bắt đầu ở đây,_book-level,confirmed,Thuật ngữ tố tụng chuẩn VN
arbitration,trọng tài,phân xử,Settling disputes using an impartial third party whose decision is binding,Giải quyết tranh chấp bằng bên thứ ba trung lập có quyết định ràng buộc,_book-level,confirmed,Trong bối cảnh pháp lý VN: trọng tài thương mại khi nói về kinh doanh
bankruptcy,phá sản,,Legal procedure for individuals/businesses that cannot meet financial obligations,Thủ tục pháp lý cho cá nhân/doanh nghiệp không thể thực hiện nghĩa vụ tài chính,_book-level,confirmed,
breach of contract,vi phạm hợp đồng,,When one party fails (without legal excuse) to fulfill the terms of an agreement,Khi một bên không thực hiện (không có lý do pháp lý) các điều khoản của thỏa thuận,_book-level,confirmed,
business law,luật kinh doanh,luật thương mại,The body of law that governs commercial dealings,Hệ thống luật điều chỉnh các giao dịch thương mại,_book-level,confirmed,Dùng 'luật kinh doanh' vì sách dùng bối cảnh rộng
common law,thông luật,luật án lệ,Unwritten law evolved from judicial (court) decisions,also called case law,Luật bất thành văn phát triển từ các quyết định tư pháp (tòa án),còn gọi là luật án lệ,_book-level
consumerism,chủ nghĩa tiêu dùng,phong trào bảo vệ người tiêu dùng,Social movement seeking to increase the rights and powers of buyers vis-à-vis sellers,Phong trào xã hội nhằm tăng cường quyền và sức mạnh của người mua so với người bán,_book-level,confirmed,Bối cảnh sách nhấn mạnh khía cạnh phong trào bảo vệ quyền lợi
contract,hợp đồng,,An agreement that sets forth the relationship between parties regarding performance of a specified action,Thỏa thuận thiết lập mối quan hệ giữa các bên về việc thực hiện một hành động cụ thể,_book-level,confirmed,
copyright,bản quyền,quyền tác giả,Exclusive right given to a creator to use,produce,and sell their creation,shown by ©,Quyền độc quyền của người sáng tạo để sử dụng
deregulation,bãi bỏ quy định,nới lỏng quy định,Removal of rules and regulations governing business competition,Việc xóa bỏ các quy tắc và quy định điều chỉnh cạnh tranh kinh doanh,_book-level,confirmed,Bối cảnh: chính phủ Mỹ 1980-1990s bãi bỏ quy định ngành hàng không
excise taxes,thuế tiêu thụ đặc biệt,,Taxes placed on specific items such as gasoline,alcohol,cigarettes,airline tickets,Thuế đánh vào các mặt hàng cụ thể như xăng dầu
income taxes,thuế thu nhập,,Taxes based on the income received by businesses and individuals,Thuế dựa trên thu nhập của doanh nghiệp và cá nhân,_book-level,confirmed,
judiciary,tư pháp,cơ quan tư pháp; ngành tư pháp,The branch of government responsible for settling disputes by applying and interpreting law,Nhánh chính phủ chịu trách nhiệm giải quyết tranh chấp bằng cách áp dụng và giải thích pháp luật,_book-level,confirmed,Dùng 'tư pháp' khi nói về ngành; 'cơ quan tư pháp' khi nói về tổ chức cụ thể
laws,pháp luật,luật pháp,Rules of conduct created and enforced by a controlling authority,usually the government,Các quy tắc ứng xử được tạo ra và thực thi bởi cơ quan có thẩm quyền,thường là chính phủ,_book-level
mediation,hòa giải,,Settling disputes using a neutral third party whose decision is NOT binding,Giải quyết tranh chấp bằng bên thứ ba trung lập có quyết định KHÔNG ràng buộc,_book-level,confirmed,Phân biệt với arbitration: mediation không ràng buộc
patent,bằng sáng chế,,Exclusive right to manufacture,use,and sell an invention for 20 years,Quyền độc quyền sản xuất,sử dụng và bán một phát minh trong 20 năm
payroll taxes,thuế lương,thuế trên quỹ lương,Employer's share of Social Security taxes and unemployment taxes on wages/salaries,Phần đóng góp của nhà tuyển dụng cho thuế An sinh Xã hội và thuế thất nghiệp trên lương,_book-level,confirmed,Bao gồm Social Security
product liability,trách nhiệm sản phẩm,,Manufacturers' and sellers' responsibility for defects in products they make and sell,Trách nhiệm của nhà sản xuất và người bán đối với lỗi trong sản phẩm họ làm và bán,_book-level,confirmed,
property taxes,thuế tài sản,thuế bất động sản,Taxes assessed on real and personal property based on assessed value,Thuế đánh trên bất động sản và tài sản cá nhân dựa trên giá trị định giá,_book-level,confirmed,Dùng 'thuế tài sản' vì bao gồm cả real property và personal property
sales taxes,thuế bán hàng,thuế doanh thu,Taxes levied on goods when sold,as a percentage of sales price,Thuế đánh trên hàng hóa khi bán,tính theo phần trăm giá bán,_book-level
servicemark,nhãn hiệu dịch vụ,,A mark that identifies a service provider,using SM symbol instead of ®,Dấu hiệu nhận diện nhà cung cấp dịch vụ,sử dụng ký hiệu SM thay vì ®,_book-level
statutory law,luật thành văn,luật do cơ quan lập pháp ban hành,Written law enacted by legislatures at all levels of government,Luật thành văn do các cơ quan lập pháp ở mọi cấp chính phủ ban hành,_book-level,confirmed,Đối lập với common law (thông luật / luật án lệ)
strict liability,trách nhiệm nghiêm ngặt,trách nhiệm tuyệt đối,Legal responsibility for harm caused by defective products even without proof of negligence,Trách nhiệm pháp lý đối với thiệt hại do sản phẩm lỗi gây ra ngay cả khi không chứng minh được sơ suất,_book-level,confirmed,Nguyên tắc: chỉ cần chứng minh sản phẩm lỗi và gây thiệt hại
tort,hành vi gây thiệt hại,vi phạm dân sự,A civil (private) act that harms other people or their property,Hành vi dân sự gây thiệt hại cho người khác hoặc tài sản của họ,_book-level,confirmed,Giữ nguyên '(tort)' trong ngoặc khi cần vì thuật ngữ này chưa có dịch chuẩn phổ biến trong tiếng Việt
trademark,thương hiệu,nhãn hiệu,A design,name,or distinctive mark identifying a manufacturer's goods in the marketplace,Thiết kế,tên hoặc dấu hiệu đặc trưng nhận diện hàng hóa của nhà sản xuất trên thị trường
trial courts,tòa sơ thẩm,,Courts where cases are first heard,also called courts of general jurisdiction,Tòa án nơi các vụ án được xét xử lần đầu,còn gọi là tòa thẩm quyền chung,_book-level
uniform commercial code (ucc),Bộ luật Thương mại Thống nhất (UCC),,Model law setting forth rules for commercial transactions,adopted by 49 states,Luật mẫu thiết lập các quy tắc cho giao dịch thương mại,được 49 tiểu bang áp dụng,_book-level
business,doanh nghiệp,,An organization that strives for a profit by providing goods and services desired by its customers,Tổ chức nỗ lực tạo lợi nhuận bằng cách cung cấp hàng hóa và dịch vụ mà khách hàng mong muốn,chapter-1,confirmed,
goods,hàng hóa,,Tangible items manufactured by businesses,Các sản phẩm hữu hình do doanh nghiệp sản xuất,chapter-1,confirmed,
services,dịch vụ,,Intangible offerings of businesses that can't be held,touched,or stored,Sản phẩm vô hình của doanh nghiệp không thể cầm,chạm hoặc lưu trữ
